rpt,fold,feature,AUC_multi,AUC0vall,AUC1vall,AUC2vall,AUC3vall,accuracy
1,1,baseline,0.770676403714199,0.848101866122875,0.786853134110787,0.729372452539199,0.781609195402299,0.539495798319328
1,1,DER_RBC_Last12months,0.77243008331324,0.848137433903208,0.789282677356657,0.728674769581023,0.785109175516048,0.54453781512605
1,1,DER_RBC_Last24months,0.758484806475711,0.825291063002395,0.781659985422741,0.720320934160761,0.762518394781848,0.532773109243697
1,1,DER_RBCLoss_mL,0.775858599481926,0.843442486899201,0.789965986394558,0.736826644144971,0.791572206976097,0.549579831932773
1,1,DER_DaysRBCLoss,0.773629798727616,0.850722025940768,0.796130952380952,0.727720045532993,0.783677365469514,0.547899159663866
1,1,DER_DaysDRLoss,0.771119955994265,0.848552391340431,0.788052721088435,0.729556053317666,0.781668854154238,0.542857142857143
1,1,RQ1_Ever_Donated,0.770806027729689,0.848255993170986,0.786959426627794,0.729556053317666,0.781668854154238,0.539495798319328
1,1,cumLifetimeDonations,0.76768971775644,0.84909776397221,0.788234936831876,0.716648918591415,0.779580797836376,0.534453781512605
1,1,FingerstickHGB_equiv,0.766817548209269,0.84952457733621,0.786534256559767,0.729684573862593,0.766774052420157,0.549579831932773
1,1,DD_ABO_RH,0.76758574978474,0.84689256159154,0.786731656948494,0.726030918371094,0.774430258918983,0.54453781512605
1,1,DER_AdjVenousHgb,0.7591777670551,0.837407820169303,0.740919582118562,0.734458194102743,0.782325100425566,0.559663865546218
1,1,DER_Weight,0.769345007215964,0.847959595001541,0.790087463556851,0.725608636580619,0.776458656484906,0.526050420168067
1,1,DER_Height,0.767706871532421,0.842980105754867,0.788462706511176,0.728013806778541,0.774569462673508,0.517647058823529
1,1,BMI,0.76446101712447,0.842968249828089,0.786640549076774,0.722579223735909,0.768901881239311,0.527731092436975
1,1,DER_EBV,0.767771137345768,0.847449790150096,0.788265306122449,0.727518084676679,0.771646183828501,0.53781512605042
1,1,DER_RedCellVolume,0.770831858133507,0.847817323880208,0.793124392614189,0.726655161017883,0.777075130254942,0.54453781512605
1,1,DER_PercentRBCLoss,0.769180877646445,0.849678704384322,0.793382531584062,0.726104358682481,0.77240186135306,0.542857142857143
1,1,DD_Country,0.770803711021083,0.848007018708652,0.787020165208941,0.729592773473359,0.781947261663286,0.539495798319328
1,1,DER_Age,0.768009661019805,0.843620325800868,0.792349975704568,0.725131274556604,0.773197311378913,0.527731092436975
1,1,Gender_F,0.768553415432707,0.847935883147986,0.785258746355685,0.7276833253773,0.777810921528855,0.536134453781513
1,1,DD_Raceth,0.770042475614239,0.848137433903208,0.785911686103013,0.725076194323064,0.784850654257646,0.53781512605042
1,1,RQ7_Ever_Smoked,0.763627467268067,0.845849240035094,0.790527818270165,0.719898652370286,0.764884858608758,0.541176470588235
1,1,RQ8_Smoked_Past_90Days,0.770330718915746,0.847829179806985,0.786822764820214,0.728472808724709,0.781907489161993,0.541176470588235
1,1,RQ11_Liver,0.770895898292048,0.847852891660541,0.787506073858115,0.7316123820365,0.780296702859643,0.539495798319328
1,1,RQ11_Beef,0.764479667736964,0.848196713537097,0.786670918367347,0.713380824734697,0.777254106510758,0.526050420168067
1,1,RQ11_LPCT,0.769745765296889,0.84791217129443,0.78908527696793,0.728968530826571,0.777671717774331,0.542857142857143
1,1,RQ11_Clams,0.770252613433488,0.847449790150096,0.788295675413022,0.729427532772739,0.779023982818279,0.53781512605042
1,1,RQ11_OMSS,0.770664728136096,0.848848789509876,0.787870505344995,0.729794734329674,0.779978522849302,0.536134453781513
1,1,RQ11_OtrFish,0.769011532896716,0.844639935503758,0.788250121477162,0.726857121874197,0.778228532792427,0.53109243697479
1,1,RQ11_Eggs,0.769508415914422,0.847082256419984,0.789054907677357,0.730308816509382,0.77627968022909,0.54453781512605
1,1,RQ11_Dairy,0.769577476628541,0.845932231522538,0.787232750242954,0.726306319538795,0.782603507934614,0.534453781512605
1,1,compositeIronScore,0.769207233452334,0.841225428591753,0.790785957240039,0.727554804832372,0.779023982818279,0.536134453781513
1,1,supp_iron_pct_of_daily,0.766550589285473,0.844865198112536,0.790846695821186,0.723111665993464,0.769935966272919,0.539495798319328
1,1,multivitamins_per_week,0.77249445952646,0.847864747587319,0.792228498542274,0.730565857599236,0.782305214174919,0.532773109243697
1,1,RQ17_NumberOfPeriods,0.769059653942476,0.846821426030873,0.787657920310982,0.725810597436933,0.778586485304061,0.534453781512605
1,1,RQ18_Menstrual_Flow,0.769079610566463,0.844699215137647,0.789054907677357,0.728436088569016,0.778447281549537,0.532773109243697
1,1,menstrual_flow_times_freq,0.768356512088421,0.842980105754867,0.787278304178814,0.728950170748724,0.776379111482321,0.532773109243697
1,1,RQ19_Ever_Pregnant,0.770776805537818,0.848042586488986,0.788219752186589,0.729188851760731,0.780694427872569,0.53781512605042
